id,SMILES,Tg,FFV,Tc,Density,Rg
87817.0,*CC(*)c1ccccc1C(=O)OCCCCCC,45.0,0.37464529,0.2056666666666666,0.932,
106919.0,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,,0.3704102,,,
388772.0,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,,0.37885964,,,
519416.0,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,,0.3873239,,,
539187.0,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,34.0,0.35547017,,,
950661.0,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,3.0,0.33909279,,,
1012066.0,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,,0.3476159,,,
1022104.0,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,275.0,0.37754464,,,
1722264.0,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,18.0,0.35917558,,,
2265305.0,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,,0.341878125,,,
2986007.0,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,90.0,0.40239665,0.487,0.901122805,28.6824407
3013292.0,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,,,0.171,1.184354013,13.53424751
3053950.0,*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,254.0,0.36481552,,,
3128201.0,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,285.5,0.36956078,,,
3139746.0,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,21.9,0.3314918,,,
3254580.0,*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,,0.34991627,,,
4600132.0,*Nc1ccc(-c2ccc(N*)cc2)cc1,,0.33687015,,,
4658296.0,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,245.0,0.36326495,,,
4834929.0,*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,,0.36594162,,,
5118841.0,*C(=O)c1ccc(N(*)CCCCCCCC)cc1,30.0,0.40101187,,,
5350166.0,*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,-26.0,0.31898697,,,
5650517.0,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,70.0,0.33573247,,,
5661484.0,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,265.0,0.38715626,,,
5709902.0,*Nc1ccc(NC(=O)CCCCCCC(*)=O)cc1,138.0,0.33579028,,,
5724071.0,*NC(=O)Nc1ccc(Cc2ccc(NC(=O)Nc3cccc(*)n3)cc2)cc1,206.5,0.33930299,,,
5857263.0,*c1ccc(Oc2ccc(Oc3ccc(Oc4ccc(N5C(=O)c6ccc(-c7ccc8c(c7)C(=O)N(*)C8=O)cc6C5=O)cc4)cc3)cc2)cc1,228.51,0.36614256,,,
5905810.0,*Cc1c(C)c(C)c(CNC(=O)CCCCCC(C)CC(=O)N*)c(C)c1C,211.0,0.34722767,,,
5966923.0,*c1cc(CCOC(=O)NCCCC)c(*)s1,67.5,0.36941899,,,
6019988.0,*CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N*)c1,125.0,0.3407009,,,
6102563.0,*C(=O)OCCOCCOC(=O)c1ccc(N2C(=O)c3ccc(*)cc3C2=O)cc1,101.0,0.32926001,,,
6259923.0,*NC1=C(c2ccc(O)cc2OC)[C@@H](N*)c2c(N)ccc(N)c21,,0.32877014,,,
6645418.0,*CCCCCNC(=O)CCCCC(=O)N*,46.5,0.3327408,0.327,,
6665789.0,*Nc1cccc(C=Cc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)c1,,0.35017075,,,
7586800.0,*C(=O)Nc1ccc(Oc2ccc(C(C)(C)c3ccc(Oc4ccc(NC(=O)c5ccc6c(c5)C(=O)N(c5ccc(-c7sc(-c8ccc(N9C(=O)c%10ccc(*)cc%10C9=O)cc8)c(-c8ccccc8)c7-c7ccccc7)cc5)C6=O)cc4)cc3)cc2)cc1,287.0,0.38518992,,,
7687820.0,*CCCCCCCCCCCCCCCCCCNC(=O)NCCCCCCNC(=O)N*,,,0.383,,
8689461.0,*CC(*)CCCCCCCCCCCCCCCC,55.0,0.40787312,0.375,,
8973725.0,*CC(*)CC(C)(C)CC,,,0.1863333333333333,,
9231170.0,*CC(*)CC,-24.1,,0.2253333333333333,0.752,13.87291346
9284896.0,*O[Si](C)(C)CCCNC(=O)C(=O)NCCC[Si](*)(C)C,-46.48,0.38708542,,,
10061985.0,*CCCCCCCCCCN1C(=O)c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2C1=O,103.0,0.3487648,,,
10142210.0,*NC(C)C(=O)NCC(=O)NCC(*)=O,208.6397491,,,,
10557152.0,*C(C)=[C](*)[Ge]([CH3])([CH3])[CH3],,0.39996108,,,
11301237.0,*c1ccc(Oc2ccc(-c3nc4ccc(Oc5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(c8ccc(Oc%10ccc%11nc(*)c(-c%12ccccc%12)nc%11c%10)cc8)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4nc3-c3ccccc3)cc2)cc1,267.0,0.40256926,,,
11664621.0,*OC(COC(*)=O)COC(C)C,,0.35338284,,,
11667291.0,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(C(=O)c4ccc(N5C(=O)c6ccc(*)cc6C5=O)cc4)cc3)cc1)C2=O,307.0,0.38083463,,,
11796436.0,*Nc1cc2c(c(-c3ccccc3)c1N*)[C@@H](c1ccccc1)c1ccccc1-2,,0.37078536,,,
11894206.0,*CC(*)C(=O)Oc1ccccc1C,51.5,0.35783052,0.1735,1.061864136,12.7374634
11955349.0,*C(=Nc1ccccc1)c1ccc(-c2ccc(*)cc2)cc1,,0.39901234,,,
12008966.0,*CC(*)c1ccc(C(C)(C)C)cc1,138.0,,0.184,0.842,
12265790.0,*CC(*)C(=O)OC(C)C,-5.0,0.36594213,,0.9920000000000001,
12381586.0,*CC(*)C(=O)OCCCCCCOc1ccc(-c2ccc(C#N)cc2)cc1,45.0,0.35839221,,,
12395811.0,*C(=Cc1cc(OC)c(C=C(c2ccc(*)cc2)c2ccc(OC)cc2)cc1OC)c1ccc(OC)cc1,,0.37715059,,,
12627006.0,*c1ccc(OCCN(CC)c2ccc(C(C#N)=C(C#N)C#N)cc2)c(-c2cc(-c3ccccc3)c3cc(Oc4ccc5nc(*)cc(-c6ccccc6)c5c4)ccc3n2)c1,200.0,0.39541698,,,
